"Name","ExtraId","Control Name","Registry Key","Registry Value","Registry Value Type","CSP Name","CSP Path","CSP Value Type","Default Value: Domain Controller","Default Value: Member Server","Default Value: Workgroup Member","Allowed Value","Expected Value: Domain Controller","Expected Value: Member Server","Expected Value: Workgroup Member","Severity","Availability","Category"
"CredentialsDelegationRemoteHostAllowsDelegationOfNonExportableCredentials","AZ-WIN-20199","Remote host allows delegation of non-exportable credentials","HKLM:\SOFTWARE\Policies\Microsoft\Windows\CredentialsDelegation","AllowProtectedCreds","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"CredentialsUIDisablePasswordReveal","CCE-37534-5","Do not display the password reveal button","HKLM:\SOFTWARE\Policies\Microsoft\Windows\CredUI","DisablePasswordReveal","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"CredentialsUIEnumerateAdministrators","CCE-36512-2","Enumerate administrator accounts on elevation","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI","EnumerateAdministrators","REG_DWORD",,,,"0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"CredSspAllowEncryptionOracle","AZ-WIN-201910","Encryption Oracle Remediation for CredSSP protocol","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters","AllowEncryptionOracle","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"CryptographyAllowedKerberosEncryptionTypes","CCE-37755-6","Network Security: Configure encryption types allowed for Kerberos","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters","SupportedEncryptionTypes","REG_DWORD",,,,"2147483640","2147483640","2147483640","OneOf(Equals(8), Equals(16), Equals(24), Equals(2147483624), Equals(2147483632), Equals(2147483640))","OneOf(Equals(2147483624), Equals(2147483632), Equals(2147483640))","OneOf(Equals(2147483624), Equals(2147483632), Equals(2147483640))","OneOf(Equals(2147483624), Equals(2147483632), Equals(2147483640))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"CryptographyEccCurve",,"SSL Cryptography EccCurves","HKLM:\SOFTWARE\Policies\Microsoft\Cryptography\Configuration\SSL\00010002","EccCurves","REG_MULTI_SZ",,,,"NistP256,NistP384","NistP256,NistP384","NistP256,NistP384","ContainsAtMost('curve25519','NistP256','NistP384')","ContainsAtMost('NistP256','NistP384')","ContainsAtMost('NistP256','NistP384')","ContainsAtMost('NistP256','NistP384')","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"CryptographyForceStrongKeyProtection","AZ-WIN-73699","System Cryptography: Force strong key protection for user keys stored on the computer","HKLM:\SOFTWARE\Policies\Microsoft\Cryptography","ForceKeyProtection","REG_DWORD","./Vendor/MSFT/Policy","Config/Cryptography/ConfigureSystemCryptographyForceStrongKeyProtection","Integer","2","2","2","Range(1, 2)","Equals(2)","Equals(2)","Equals(2)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"CryptographySSLCipherSuites","AZ-WIN-00153","SSL Cryptography Cipher suites","HKLM:\SOFTWARE\Policies\Microsoft\Cryptography\Configuration\SSL\00010002","Functions","REG_SZ",,,,"TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","ContainsAtMost('TLS_AES_256_GCM_SHA384','TLS_AES_128_GCM_SHA256','TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384','TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256','TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384','TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256','TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384','TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256','TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384','TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256','TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA','TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA','TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA','TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA','TLS_RSA_WITH_AES_256_GCM_SHA384','TLS_RSA_WITH_AES_128_GCM_SHA256','TLS_RSA_WITH_AES_256_CBC_SHA256','TLS_RSA_WITH_AES_128_CBC_SHA256','TLS_RSA_WITH_AES_256_CBC_SHA','TLS_RSA_WITH_AES_128_CBC_SHA','TLS_RSA_WITH_NULL_SHA256','TLS_RSA_WITH_NULL_SHA','TLS_PSK_WITH_AES_256_GCM_SHA384','TLS_PSK_WITH_AES_128_GCM_SHA256','TLS_PSK_WITH_AES_256_CBC_SHA384','TLS_PSK_WITH_AES_128_CBC_SHA256','TLS_PSK_WITH_NULL_SHA384','TLS_PSK_WITH_NULL_SHA256')","ContainsAtMost('TLS_AES_128_GCM_SHA256','TLS_AES_256_GCM_SHA384','TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256','TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384','TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256','TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384','TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256','TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384','TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256','TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384')","ContainsAtMost('TLS_AES_128_GCM_SHA256','TLS_AES_256_GCM_SHA384','TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256','TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384','TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256','TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384','TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256','TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384','TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256','TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384')","ContainsAtMost('TLS_AES_128_GCM_SHA256','TLS_AES_256_GCM_SHA384','TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256','TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384','TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256','TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384','TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256','TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384','TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256','TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384')","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"DetectApplicationInstallationsAndPromptForElevation","CCE-36533-8","User Account Control: Detect application installations and prompt for elevation","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableInstallerDetection","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/UserAccountControl_DetectApplicationInstallationsAndPromptForElevation","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DeviceGuardLsaCfgFlags","AZ-WIN-73515","Turn on CredentialGuard","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","LsaCfgFlags","REG_DWORD",,,,,"2","2","Range(0, 2)",,"Range(1, 2)","Range(1, 2)","Critical","Member Server, Workgroup Member","Registry"
"DeviceGuardRequireMicrosoftSignedBootChain",,"Secured-Core Require MicrosoftSignedBootChain","HKLM:\SYSTEM\CurrentControlSet\Control\DeviceGuard","RequireMicrosoftSignedBootChain","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","SecuredCore"
"DeviceGuardRequirePlatformSecurityFeatures","AZ-WIN-73513","Secured-Core Require Platform Security (Secure Boot, DMA)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard","RequirePlatformSecurityFeatures","REG_DWORD","./Vendor/MSFT/Policy","Config/DeviceGuard/RequirePlatformSecurityFeatures","Integer","1","1","1","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","SecuredCore"
"DeviceGuardRequireUEFIMemoryAttributesTable",,"Secured-Core Require UEFI Memory Attribute Table","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard","HVCIMATRequired","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","SecuredCore"
"DeviceInstallationPreventDeviceMetadataFromNetwork","AZ-WIN-202251","Prevent device metadata retrieval from the Internet","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Device Metadata","PreventDeviceMetadataFromNetwork","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"DeviceLockAccountLockoutPolicy",,"Account lockout policy",,,,"./Vendor/MSFT/Policy","Config/DeviceLock/AccountLockoutPolicy","String","AccountLockoutDuration:15, AccountLockoutThreshold:3, ResetAccountLockoutCounterAfter:15","AccountLockoutDuration:15, AccountLockoutThreshold:3, ResetAccountLockoutCounterAfter:15","AccountLockoutDuration:15, AccountLockoutThreshold:3, ResetAccountLockoutCounterAfter:15","AllOf(Pattern('ResetAccountLockoutCounterAfter:[1][5-9]|[2-9]\d|[1-9]\d{2,}'), Pattern('AccountLockoutDuration:[1][5-9]|[2-9]\d|[1-9]\d{2,}'), Pattern('AccountLockoutThreshold:[1-3]'))","AllOf(Pattern('ResetAccountLockoutCounterAfter:[1][5-9]|[2-9]\d|[1-9]\d{2,}'), Pattern('AccountLockoutDuration:[1][5-9]|[2-9]\d|[1-9]\d{2,}'), Pattern('AccountLockoutThreshold:[1-3]'))","AllOf(Pattern('ResetAccountLockoutCounterAfter:[1][5-9]|[2-9]\d|[1-9]\d{2,}'), Pattern('AccountLockoutDuration:[1][5-9]|[2-9]\d|[1-9]\d{2,}'), Pattern('AccountLockoutThreshold:[1-3]'))","AllOf(Pattern('ResetAccountLockoutCounterAfter:[1][5-9]|[2-9]\d|[1-9]\d{2,}'), Pattern('AccountLockoutDuration:[1][5-9]|[2-9]\d|[1-9]\d{2,}'), Pattern('AccountLockoutThreshold:[1-3]'))","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"DeviceLockClearTextPassword","CCE-36286-3","Store passwords using reversible encryption",,,,"./Vendor/MSFT/Policy","Config/DeviceLock/ClearTextPassword","Integer","0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"DeviceLockMaximumPasswordAge","CCE-37167-4","Maximum password age",,,,"./Vendor/MSFT/Policy","Config/DeviceLock/MaximumPasswordAge","Integer","42","42","42","Range(1, 999)","Range(1, 60)","Range(1, 60)","Range(1, 70)","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"DeviceLockMinimumPasswordAge","CCE-37073-4","Minimum password age",,,,"./Vendor/MSFT/Policy","Config/DeviceLock/MinimumPasswordAge","Integer","1","1","1","Range(1, 998)","Range(1, )","Range(1, )","Range(1, )","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"DeviceLockMinimumPasswordLength","CCE-36534-6","Minimum password length",,,,"./Vendor/MSFT/Policy","Config/DeviceLock/MinimumPasswordLength","Integer",,"14","14","Range(7, 99)",,"Range(14, )","Range(14, )","Critical","Member Server, Workgroup Member","Security Policy"
"DeviceLockPasswordComplexity","CCE-37063-5","Password must meet complexity requirements",,,,"./Vendor/MSFT/Policy","Config/DeviceLock/PasswordComplexity","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"DeviceLockPasswordHistorySize","CCE-37166-6","Enforce password history",,,,"./Vendor/MSFT/Policy","Config/DeviceLock/PasswordHistorySize","Integer","24","24","24","Range(0, 24)","Equals(24)","Equals(24)","Equals(24)","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"DeviceLockPreventEnablingLockScreenCamera","CCE-38347-1","Prevent enabling lock screen camera","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Personalization","NoLockScreenCamera","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"DeviceLockPreventLockScreenSlideShow","CCE-38348-9","Prevent enabling lock screen slide show","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Personalization","NoLockScreenSlideshow","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"DigitallyEncryptOrSignSecureChannelDataAlways","CCE-36142-8","Domain member: Digitally encrypt or sign secure channel data (always)","HKLM:\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters","RequireSignOrSeal","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/DomainMember_DigitallyEncryptOrSignSecureChannelDataAlways","Integer","1","1",,"Range(0, 1)","Equals(1)","Equals(1)",,"Critical","Domain Controller, Member Server","Security Options"
"DigitallyEncryptSecureChannelDataWhenPossible","CCE-37130-2","Domain member: Digitally encrypt secure channel data (when possible)","HKLM:\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters","SealSecureChannel","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/DomainMember_DigitallyEncryptSecureChannelDataWhenPossible","Integer","1","1",,"Range(0, 1)","Equals(1)","Equals(1)",,"Critical","Domain Controller, Member Server","Security Options"
"DigitallySignCommunicationsAlwaysClient","CCE-36325-9","Microsoft network client: Digitally sign communications (always)","HKLM:\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters","RequireSecuritySignature","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/MicrosoftNetworkClient_DigitallySignCommunicationsAlways","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DigitallySignCommunicationsAlwaysServer","CCE-37864-6","Microsoft network server: Digitally sign communications (always)","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","RequireSecuritySignature","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/MicrosoftNetworkServer_DigitallySignCommunicationsAlways","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DigitallySignCommunicationsIfClientAgrees","CCE-35988-5","Microsoft network server: Digitally sign communications (if client agrees)","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","EnableSecuritySignature","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/MicrosoftNetworkServer_DigitallySignCommunicationsIfClientAgrees","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DigitallySignCommunicationsIfServerAgrees","CCE-36269-9","Microsoft network client: Digitally sign communications (if server agrees)","HKLM:\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters","EnableSecuritySignature","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/MicrosoftNetworkClient_DigitallySignCommunicationsIfServerAgrees","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DigitallySignSecureChannelDataWhenPossible","CCE-37222-7","Domain member: Digitally sign secure channel data (when possible)","HKLM:\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters","SignSecureChannel","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/DomainMember_DigitallySignSecureChannelDataWhenPossible","Integer","1","1",,"Range(0, 1)","Equals(1)","Equals(1)",,"Critical","Domain Controller, Member Server","Security Options"
"DisableLocalAccountPasswordChanges","CCE-37508-9","Domain member: Disable machine account password changes","HKLM:\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters","DisablePasswordChange","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/DomainMember_DisableMachineAccountPasswordChanges","Integer","0","0",,"Range(0, 1)","Equals(0)","Equals(0)",,"Critical","Domain Controller, Member Server","Security Options"
"DisableSMBv1Client","AZ-WIN-00122","Disable SMB v1 client (remove dependency on LanmanWorkstation)","HKLM:\SYSTEM\CurrentControlSet\Services\LanmanWorkstation","DependOnService","REG_MULTI_SZ",,,,"Bowser,MRxSmb20,NSI","Bowser,MRxSmb20,NSI","Bowser,MRxSmb20,NSI",,"ContainsAtMost('Bowser', 'MRxSmb20', 'NSI')","ContainsAtMost('Bowser', 'MRxSmb20', 'NSI')","ContainsAtMost('Bowser', 'MRxSmb20', 'NSI')","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"DisconnectClientsWhenLogonHoursExpire","CCE-37972-7","Microsoft network server: Disconnect clients when logon hours expire","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","EnableForcedLogOff","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/MicrosoftNetworkServer_DisconnectClientsWhenLogonHoursExpire","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DmaGuardDeviceEnumerationPolicy",,"Enumeration policy for external devices incompatible with Kernel DMA Protection","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Kernel DMA Protection","DeviceEnumerationPolicy","REG_DWORD","./Vendor/MSFT/Policy","Config/DmaGuard/DeviceEnumerationPolicy","Integer","0","0","0","Range(0, 2)","OneOf(Equals(0), Equals(1))","OneOf(Equals(0), Equals(1))","OneOf(Equals(0), Equals(1))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"DnsClientTurn_Off_Multicast","AZ-WIN-00145","Turn off multicast name resolution","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\DNSClient","EnableMulticast","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"DODownloadMode","AZ-WIN-93259","Delivery Optimization: Download Mode Methods","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DODownloadMode","REG_DWORD",,,,"2","2","2","OneOf(Equals(0), Equals(1), Equals(2), Equals(3), Equals(99), Equals(100))","OneOf(Equals(0), Equals(1), Equals(2), Equals(99), Equals(100))","OneOf(Equals(0), Equals(1), Equals(2), Equals(99), Equals(100))","OneOf(Equals(0), Equals(1), Equals(2), Equals(99), Equals(100))","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"DoNotAllowAnonymousEnumerationOfSAMAccounts","CCE-36316-8","Network access: Do not allow anonymous enumeration of SAM accounts","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","RestrictAnonymousSAM","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkAccess_DoNotAllowAnonymousEnumerationOfSAMAccounts","Integer","1","1","1","Range(0, 1)","OneOf(Equals(1), Equals(null))","OneOf(Equals(1), Equals(null))","OneOf(Equals(1), Equals(null))","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DoNotAllowAnonymousEnumerationOfSamAccountsAndShares","CCE-36077-6","Network access: Do not allow anonymous enumeration of SAM accounts and shares","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","RestrictAnonymous","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkAccess_DoNotAllowAnonymousEnumerationOfSamAccountsAndShares","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DoNotDisplayLastSignedIn","CCE-36056-0","Interactive logon: Do not display last user name","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","DontDisplayLastUserName","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/InteractiveLogon_DoNotDisplayLastSignedIn","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DoNotRequireCTRLALTDEL","CCE-37637-6","Interactive logon: Do not require CTRL+ALT+DEL","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","DisableCAD","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/InteractiveLogon_DoNotRequireCTRLALTDEL","Integer","0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"EnableAuthEpResolution","CCE-37346-4","Enable RPC Endpoint Mapper Client Authentication","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Rpc","EnableAuthEpResolution","REG_DWORD",,,,,"1","1","Range(0, 1)",,"Equals(1)","Equals(1)","Critical","Member Server, Workgroup Member","Registry"
"EnableAuthRateLimiter",,"Enable authentication rate limiter","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","EnableAuthRateLimiter","REG_DWORD",,,,"1","1","1","Range(0, 1)","OneOf(Equals(1), Equals(null))","OneOf(Equals(1), Equals(null))","OneOf(Equals(1), Equals(null))","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"EnableAuthRateLimiterTimeout",,"Enable authentication rate limiter (Delay Timeout)","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","InvalidAuthenticationDelayTimeInMs","REG_DWORD",,,,"2000","2000","2000","Range(0, 5000)","Range(2000, 5000)","Range(2000, 5000)","Range(2000, 5000)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"EnabledNTPClient","CCE-37843-0","Enable Windows NTP Client","HKLM:\SYSTEM\CurrentControlSet\Services\W32Time\TimeProviders\NtpClient","Enabled","REG_DWORD",,,,,,"1","Range(0, 1)",,,"Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EnableGuestAccountStatus","CCE-37432-2","Accounts: Guest account status",,,,"./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Accounts_EnableGuestAccountStatus","Integer","0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"EnableMailslotsLanmanServer",,"Enable remote mailslots (Lanman Server)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Browser","EnableMailslots","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"EnableMailslotsLanmanWorkstation",,"Enable remote mailslots (Lanman Workstation)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\NetworkProvider","EnableMailslots","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"EnableStructuredExceptionHandlingOverwriteProtection","AZ-WIN-202210","Enable Structured Exception Handling Overwrite Protection (SEHOP)","HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\kernel","DisableExceptionChainValidation","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EncryptNTFSPagingFile",,"System Policies NtfsEncryptPagingFile","HKLM:\SYSTEM\CurrentControlSet\Policies","NtfsEncryptPagingFile","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"EventLogChannelSecurityLogRetention","CCE-37145-0","Security: Control Event Log behavior when the log file reaches its maximum size","HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Security","Retention","REG_SZ",,,,"0","0","0","OneOf(Equals('0'), Equals('1'), Equals(null))","OneOf(Equals('0'), Equals(null))","OneOf(Equals('0'), Equals(null))","OneOf(Equals('0'), Equals(null))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EventLogChannelSetupLogMaxSize","CCE-37526-1","Setup: Specify the maximum log file size (KB)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Setup","MaxSize","REG_DWORD",,,,"32768","32768","32768","Range(64, 4194240 )","Range(32768, )","Range(32768, )","Range(32768, )","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EventLogChannelSetupLogRetention","CCE-38276-2","Setup: Control Event Log behavior when the log file reaches its maximum size","HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Setup","Retention","REG_SZ",,,,"0","0","0","OneOf(Equals('0'), Equals('1'), Equals(null))","OneOf(Equals('0'), Equals(null))","OneOf(Equals('0'), Equals(null))","OneOf(Equals('0'), Equals(null))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
