"Name","ExtraId","Control Name","Registry Key","Registry Value","CSP Name","CSP Path(s)","Data Type","Default Value: Domain Controller","Default Value: Member Server","Default Value: Workgroup Member","Allowed Value","Severity","Availability","Category"
"CryptographySSLCipherSuites",,"SSL Cryptography Configuration Policies","HKLM:\SOFTWARE\Policies\Microsoft\Cryptography\Configuration\SSL\00010002","Functions",,,"String","TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","ContainsAtMost('TLS_AES_256_GCM_SHA384','TLS_AES_128_GCM_SHA256','TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384','TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256','TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384','TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256','TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384','TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256','TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384','TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256','TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA','TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA','TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA','TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA','TLS_RSA_WITH_AES_256_GCM_SHA384','TLS_RSA_WITH_AES_128_GCM_SHA256','TLS_RSA_WITH_AES_256_CBC_SHA256','TLS_RSA_WITH_AES_128_CBC_SHA256','TLS_RSA_WITH_AES_256_CBC_SHA','TLS_RSA_WITH_AES_128_CBC_SHA','TLS_RSA_WITH_NULL_SHA256','TLS_RSA_WITH_NULL_SHA','TLS_PSK_WITH_AES_256_GCM_SHA384','TLS_PSK_WITH_AES_128_GCM_SHA256','TLS_PSK_WITH_AES_256_CBC_SHA384','TLS_PSK_WITH_AES_128_CBC_SHA256','TLS_PSK_WITH_NULL_SHA384','TLS_PSK_WITH_NULL_SHA256')","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"DetectApplicationInstallationsAndPromptForElevation","CCE-36533-8","User Account Control: Detect application installations and prompt for elevation","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableInstallerDetection","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/UserAccountControl_DetectApplicationInstallationsAndPromptForElevation","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DeviceGuardLsaCfgFlags",,"Turn on CredentialGuard","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","LsaCfgFlags",,,"Number",,"2","2","Range(0, 2)","Critical","Member Server, Workgroup Member","Registry"
"DeviceGuardRequireMicrosoftSignedBootChain",,"Secured-Core Require MicrosoftSignedBootChain","HKLM:\SYSTEM\CurrentControlSet\Control\DeviceGuard","RequireMicrosoftSignedBootChain",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","SecuredCore"
"DeviceGuardRequirePlatformSecurityFeatures",,"Secured-Core Require Platform Security (Secure Boot, DMA)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard","RequirePlatformSecurityFeatures","./Vendor/MSFT/Policy","Config/DeviceGuard/RequirePlatformSecurityFeatures","Number","1","1","1","OneOf(Equals(1), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","SecuredCore"
"DeviceGuardRequireUEFIMemoryAttributesTable",,"Secured-Core Require UEFI Memory Attribute Table","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard","HVCIMATRequired",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","SecuredCore"
"DeviceInstallationPreventDeviceMetadataFromNetwork","AZ-WIN-202251","Prevent device metadata retrieval from the Internet","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Device Metadata","PreventDeviceMetadataFromNetwork",,,"Number","1","1","1","Range(0, 1)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"DeviceLockAccountLockoutPolicy",,"Account lockout policy",,,"./Vendor/MSFT/Policy","Config/DeviceLock/AccountLockoutPolicy","String","AccountLockoutDuration:15, AccountLockoutThreshold:3, ResetAccountLockoutCounterAfter:15","AccountLockoutDuration:15, AccountLockoutThreshold:3, ResetAccountLockoutCounterAfter:15","AccountLockoutDuration:15, AccountLockoutThreshold:3, ResetAccountLockoutCounterAfter:15","AllOf(Pattern('ResetAccountLockoutCounterAfter:[1][5-9]|[2-9]\d|[1-9]\d{2,}'), Pattern('AccountLockoutDuration:[1][5-9]|[2-9]\d|[1-9]\d{2,}'), Pattern('AccountLockoutThreshold:[1-3]'))","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"DeviceLockClearTextPassword","CCE-36286-3","Store passwords using reversible encryption",,,"./Vendor/MSFT/Policy","Config/DeviceLock/ClearTextPassword","Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"DeviceLockMaximumPasswordAge","CCE-37167-4","Maximum password age",,,"./Vendor/MSFT/Policy","Config/DeviceLock/MaximumPasswordAge","Number","42","42","42","Range(1, 999)","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"DeviceLockMinDevicePasswordLength","CCE-36534-6","Minimum password length",,,"./Vendor/MSFT/Policy","Config/DeviceLock/MinDevicePasswordLength","Number",,"14","14","Range(7, 99)","Critical","Member Server, Workgroup Member","Security Policy"
"DeviceLockMinimumPasswordAge","CCE-37073-4","Minimum password age",,,"./Vendor/MSFT/Policy","Config/DeviceLock/MinimumPasswordAge","Number","1","1","1","Range(1, 998)","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"DeviceLockPasswordComplexity","CCE-37063-5","Password must meet complexity requirements",,,"./Vendor/MSFT/Policy","Config/DeviceLock/PasswordComplexity","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"DeviceLockPasswordHistorySize","CCE-37166-6","Enforce password history",,,"./Vendor/MSFT/Policy","Config/DeviceLock/PasswordHistorySize","Number","24","24","24","Range(0, 24)","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"DeviceLockPreventEnablingLockScreenCamera",,"Prevent enabling lock screen camera","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Personalization","NoLockScreenCamera",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"DeviceLockPreventLockScreenSlideShow",,"Prevent enabling lock screen slide show","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Personalization","NoLockScreenSlideshow",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"DigitallyEncryptOrSignSecureChannelDataAlways",,"Domain member: Digitally encrypt or sign secure channel data (always)","HKLM:\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters","RequireSignOrSeal","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/DomainMember_DigitallyEncryptOrSignSecureChannelDataAlways","Number","1","1",,"Range(0, 1)","Critical","Domain Controller, Member Server","Security Options"
"DigitallyEncryptSecureChannelDataWhenPossible",,"Domain member: Digitally encrypt secure channel data (when possible)","HKLM:\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters","SealSecureChannel","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/DomainMember_DigitallyEncryptSecureChannelDataWhenPossible","Number","1","1",,"Range(0, 1)","Critical","Domain Controller, Member Server","Security Options"
"DigitallySignCommunicationsAlwaysClient","CCE-36325-9","Microsoft network client: Digitally sign communications (always)","HKLM:\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters","RequireSecuritySignature","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/MicrosoftNetworkClient_DigitallySignCommunicationsAlways","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DigitallySignCommunicationsAlwaysServer","CCE-37864-6","Microsoft network server: Digitally sign communications (always)","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","RequireSecuritySignature","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/MicrosoftNetworkServer_DigitallySignCommunicationsAlways","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DigitallySignCommunicationsIfClientAgrees","CCE-35988-5","Microsoft network server: Digitally sign communications (if client agrees)","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","EnableSecuritySignature","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/MicrosoftNetworkServer_DigitallySignCommunicationsIfClientAgrees","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DigitallySignCommunicationsIfServerAgrees","CCE-36269-9","Microsoft network client: Digitally sign communications (if server agrees)","HKLM:\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters","EnableSecuritySignature","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/MicrosoftNetworkClient_DigitallySignCommunicationsIfServerAgrees","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DigitallySignSecureChannelDataWhenPossible",,"Domain member: Digitally sign secure channel data (when possible)","HKLM:\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters","SignSecureChannel","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/DomainMember_DigitallySignSecureChannelDataWhenPossible","Number","1","1",,"Range(0, 1)","Critical","Domain Controller, Member Server","Security Options"
"DisableLocalAccountPasswordChanges",,"Domain member: Disable machine account password changes","HKLM:\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters","DisablePasswordChange","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/DomainMember_DisableMachineAccountPasswordChanges","Number","0","0",,"Range(0, 1)","Critical","Domain Controller, Member Server","Security Options"
"DisableNameResolutionUsingNetbios",,"Disabling Name Resolution using NETBIOS","HKLM:\SYSTEM\CurrentControlSet\Services\Dnscache\Parameters","EnableNetbios",,,"Number","0","0","0","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"DisableSMBv1Client","AZ-WIN-00122","Disable SMB v1 client (remove dependency on LanmanWorkstation)","HKLM:\SYSTEM\CurrentControlSet\Services\LanmanWorkstation","DependOnService",,,"MultiString","Bowser,MRxSmb20,NSI","Bowser,MRxSmb20,NSI","Bowser,MRxSmb20,NSI",,"Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"DisconnectClientsWhenLogonHoursExpire","CCE-37972-7","Microsoft network server: Disconnect clients when logon hours expire","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","EnableForcedLogOff","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/MicrosoftNetworkServer_DisconnectClientsWhenLogonHoursExpire","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DmaGuardDeviceEnumerationPolicy",,"Enumeration policy for external devices incompatible with Kernel DMA Protection","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Kernel DMA Protection","DeviceEnumerationPolicy","./Vendor/MSFT/Policy","Config/DmaGuard/DeviceEnumerationPolicy","Number","0","0","0","Range(0, 2)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"DnsClientTurn_Off_Multicast","AZ-WIN-00145","Turn off multicast name resolution","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\DNSClient","EnableMulticast",,,"Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"DODownloadMode","AZ-WIN-93259","Windows Update can obtain updates from additional sources instead of Microsoft.","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DODownloadMode",,,"Number","2","2","2","OneOf(Equals(0), Equals(1), Equals(2), Equals(3), Equals(99), Equals(100))","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"DoNotAllowAnonymousEnumerationOfSAMAccounts","CCE-36316-8","Network access: Do not allow anonymous enumeration of SAM accounts","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","RestrictAnonymousSAM","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkAccess_DoNotAllowAnonymousEnumerationOfSAMAccounts","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DoNotAllowAnonymousEnumerationOfSamAccountsAndShares","CCE-36077-6","Network access: Do not allow anonymous enumeration of SAM accounts and shares","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","RestrictAnonymous","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkAccess_DoNotAllowAnonymousEnumerationOfSamAccountsAndShares","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DoNotDisplayLastSignedIn","CCE-36056-0","Interactive logon: Do not display last user name","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","DontDisplayLastUserName","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/InteractiveLogon_DoNotDisplayLastSignedIn","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"DoNotRequireCTRLALTDEL","CCE-37637-6","Interactive logon: Do not require CTRL+ALT+DEL","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","DisableCAD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/InteractiveLogon_DoNotRequireCTRLALTDEL","Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"EnableAuthEpResolution","CCE-37346-4","Enable RPC Endpoint Mapper Client Authentication","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Rpc","EnableAuthEpResolution",,,"Number",,"1","1","Range(0, 1)","Critical","Member Server, Workgroup Member","Registry"
"EnableAuthRateLimiter",,"Enable authentication rate limiter","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","EnableAuthRateLimiter",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"EnableAuthRateLimiterTimeout",,"Enable authentication rate limiter (Delay Timeout)","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","InvalidAuthenticationDelayTimeInMs",,,"Number","2000","2000","2000","Range(0, 5000)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"EnabledNTPClient","CCE-37843-0","Enable Windows NTP Client","HKLM:\SYSTEM\CurrentControlSet\Services\W32Time\TimeProviders\NtpClient","Enabled",,,"Number",,,"1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EnableGuestAccountStatus","CCE-37432-2","Accounts: Guest account status",,,"./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Accounts_EnableGuestAccountStatus","Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Policy"
"EnableMailslotsLanmanServer",,"Enable remote mailslots (Lanman Server)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Browser","EnableMailslots",,,"Number","0","0","0","Range(0, 1)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"EnableMailslotsLanmanWorkstation",,"Enable remote mailslots (Lanman Workstation)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\NetworkProvider","EnableMailslots",,,"Number","0","0","0","Range(0, 1)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"EnableNetbios",,"Configure NetBIOS settings","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\DNSClient","EnableNetbios",,,"Number","0","0","0","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"EnableStructuredExceptionHandlingOverwriteProtection","AZ-WIN-202210","Enable Structured Exception Handling Overwrite Protection (SEHOP)","HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\kernel","DisableExceptionChainValidation",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EncryptNTFSPagingFile",,"System Policies NtfsEncryptPagingFile","HKLM:\SYSTEM\CurrentControlSet\Policies","NtfsEncryptPagingFile",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"EventLogChannelSecurityLogRetention","CCE-37145-0","Security: Control Event Log behavior when the log file reaches its maximum size","HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Security","Retention",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EventLogChannelSetupLogMaxSize","CCE-37526-1","Setup: Specify the maximum log file size (KB)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Setup","MaxSize",,,"Number","32768","32768","32768","Range(32768, )","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EventLogChannelSetupLogRetention","CCE-38276-2","Setup: Control Event Log behavior when the log file reaches its maximum size","HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Setup","Retention",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EventLogChannelSystemLogRetention","CCE-36160-0","System: Control Event Log behavior when the log file reaches its maximum size","HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\System","Retention",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EventLogPercentageThresholdSecurityEventLogMaximumSizeReached","AZ-WIN-202212","MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning","HKLM:\SYSTEM\CurrentControlSet\Services\Eventlog\Security","WarningLevel",,,"Number","90","90","90","Range(50, 90)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"EventLogServiceControlEventLogBehavior","CCE-37775-4","Application: Control Event Log behavior when the log file reaches its maximum size","HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Application","Retention",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EventLogServiceSpecifyMaximumFileSizeApplicationLog","CCE-37948-7","Application: Specify the maximum log file size (KB)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Application","MaxSize",,,"Number","32768","32768","32768","Range(32768, )","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EventLogServiceSpecifyMaximumFileSizeSecurityLog","CCE-37695-4","Security: Specify the maximum log file size (KB)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\Security","MaxSize",,,"Number","196608","196608","196608","Range(196608, )","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"EventLogServiceSpecifyMaximumFileSizeSystemLog","CCE-36092-5","System: Specify the maximum log file size (KB)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\EventLog\System","MaxSize",,,"Number","32768","32768","32768","Range(32768, )","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"ExperienceAllowWindowsConsumerFeatures","AZ-WIN-00144","Turn off Microsoft consumer experiences","HKLM:\SOFTWARE\Policies\Microsoft\Windows\CloudContent","DisableWindowsConsumerFeatures","./Vendor/MSFT/Policy","Config/Experience/AllowWindowsConsumerFeatures","Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"ExperienceDisableConsumerAccountStateContent","AZ-WIN-202217","Turn off cloud consumer account state content","HKLM:\SOFTWARE\Policies\Microsoft\Windows\CloudContent","DisableConsumerAccountStateContent","./Vendor/MSFT/Policy","Config/Experience/DisableConsumerAccountStateContent","Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"ExperienceDoNotShowFeedbackNotifications","AZ-WIN-00140","Do not show feedback notifications","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DataCollection","DoNotShowFeedbackNotifications",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"FileExplorerTurnOffHeapTerminationOnCorruption","CCE-36660-9","Turn off heap termination on corruption","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Explorer","NoHeapTerminationOnCorruption",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallDomainProfileApplyLocalConnectionSecurityRules","CCE-38040-2","Windows Firewall: Domain: Settings: Apply local connection security rules","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile","AllowLocalIPsecPolicyMerge",,,"Number","1","1",,"Range(0, 1)","Critical","Domain Controller, Member Server","Registry"
"FirewallDomainProfileApplyLocalFirewallRules","CCE-37860-4","Windows Firewall: Domain: Settings: Apply local firewall rules","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile","AllowLocalPolicyMerge",,,"Number","1","1",,"Range(0, 1)","Critical","Domain Controller, Member Server","Registry"
"FirewallDomainProfileDisplayNotification","CCE-38041-0","Windows Firewall: Domain: Settings: Display a notification","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile","DisableNotifications",,,"Number","1","1",,"Range(0, 1)","Warning","Domain Controller, Member Server","Registry"
"FirewallDomainProfileInboundConnection","AZ-WIN-202252","Windows Firewall: Domain: Inbound connections","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile","DefaultInboundAction",,,"Number","1","1",,"Range(0, 1)","Critical","Domain Controller, Member Server","Registry"
"FirewallDomainProfileLogDroppedPackets","AZ-WIN-202226","Windows Firewall: Domain: Logging: Log dropped packets","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging","LogDroppedPackets",,,"Number","1","1",,"Range(0, 1)","Informational","Domain Controller, Member Server","Registry"
"FirewallDomainProfileLogFileMaxSize","AZ-WIN-202225","Windows Firewall: Domain: Logging: Size limit (KB)","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging","LogFileSize",,,"Number","16384","16384",,"Range(16384, )","Warning","Domain Controller, Member Server","Registry"
"FirewallDomainProfileLogFileName","AZ-WIN-202224","Windows Firewall: Domain: Logging: Name","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging","LogFilePath",,,"String","%SystemRoot%\System32\logfiles\firewall\domainfw.log","%SystemRoot%\System32\logfiles\firewall\domainfw.log",,,"Informational","Domain Controller, Member Server","Registry"
"FirewallDomainProfileLogSuccessfulConnections","AZ-WIN-202227","Windows Firewall: Domain: Logging: Log successful connections","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging","LogSuccessfulConnections",,,"Number","1","1",,"Range(0, 1)","Warning","Domain Controller, Member Server","Registry"
"FirewallDomainProfileOutboundConnection","CCE-36146-9","Windows Firewall: Domain: Outbound connections","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile","DefaultOutboundAction",,,"Number","0","0",,"Range(0, 1)","Critical","Domain Controller, Member Server","Registry"
"FirewallDomainProfileState","CCE-36062-8","Windows Firewall: Domain: Firewall state","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile","EnableFirewall",,,"Number","1","1",,"Range(0, 1)","Critical","Domain Controller, Member Server","Registry"
"FirewallDomainProfileUnicastResponse","AZ-WIN-00088","Windows Firewall: Domain: Allow unicast response","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile","DisableUnicastResponsesToMulticastBroadcast",,,"Number","0","0",,"Range(0, 1)","Warning","Domain Controller, Member Server","Registry"
"FirewallPrivateProfileApplyLocalConnectionSecurityRules","CCE-36063-6","Windows Firewall: Private: Settings: Apply local connection security rules","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","AllowLocalIPsecPolicyMerge",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPrivateProfileApplyLocalFirewallRules","CCE-37438-9","Windows Firewall: Private: Settings: Apply local firewall rules","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","AllowLocalPolicyMerge",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPrivateProfileDisplayNotification","CCE-37621-0","Windows Firewall: Private: Settings: Display a notification","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","DisableNotifications",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPrivateProfileInboundConnection","AZ-WIN-202228","Windows Firewall: Private: Inbound connections","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","DefaultInboundAction",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPrivateProfileLogDroppedPackets","AZ-WIN-202231","Windows Firewall: Private: Logging: Log dropped packets","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogDroppedPackets",,,"Number","1","1","1","Range(0, 1)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPrivateProfileLogFileMaxSize","AZ-WIN-202230","Windows Firewall: Private: Logging: Size limit (KB)","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogFileSize",,,"Number","16384","16384","16384","Range(16384, )","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPrivateProfileLogFileName","AZ-WIN-202229","Windows Firewall: Private: Logging: Name","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogFilePath",,,"String","%SystemRoot%\System32\logfiles\firewall\privatefw.log","%SystemRoot%\System32\logfiles\firewall\privatefw.log","%SystemRoot%\System32\logfiles\firewall\privatefw.log",,"Informational","Domain Controller, Member Server, Workgroup Member","Registry"
