"Name","ExtraId","Control Name","Registry Key","Registry Value","Registry Value Type","CSP Name","CSP Path","CSP Value Type","Default Value: Domain Controller","Default Value: Member Server","Default Value: Workgroup Member","Allowed Value","Expected Value: Domain Controller","Expected Value: Member Server","Expected Value: Workgroup Member","Severity","Availability","Category","Description","CIS RuleID","CIS Control","STIG ID","NIST SP 800-53 Rev 5","Security Impact","Change Risk Level"
"AuditSensitivePrivilegeUse","CCE-36267-3","Audit Sensitive Privilege Use",,,,"./Vendor/MSFT/Policy","Config/Audit/PrivilegeUse_AuditSensitivePrivilegeUse","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy","Configures auditing for Sensitive Privilege Use events to enable detection and investigation of security-relevant activities.","17.8.1","8.5 (IG2, IG3)","WN25-AU-000300","AC-6(9), AU-12, MA-3(5)","Generates Windows Security audit events for 'Sensitive Privilege Use'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditServerDoesNotSupportEncryption",,"Audit server does not support encryption","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AuditServerDoesNotSupportEncryption","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Audit server does not support encryption' per security baseline requirements to enforce organizational security policy.","18.6.8.2","8.5 (IG2, IG3)","NA","AU-12, AU-2, SC-13, SC-28","Generates Windows Security audit events for 'server does not support encryption'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditServerDoesNotSupportSigning",,"Audit server does not support signing","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AuditServerDoesNotSupportSigning","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Audit server does not support signing' per security baseline requirements to enforce organizational security policy.","18.6.8.3","8.5 (IG2, IG3)","NA","AU-12, AU-2","Generates Windows Security audit events for 'server does not support signing'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditSettingsIncludeCmdLine","CCE-36925-6","Include command line in process creation events","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit","ProcessCreationIncludeCmdLine_Enabled","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Include command line in process creation events' per security baseline requirements to enforce organizational security policy.","18.9.3.1","8.8 (IG2, IG3)","WN25-CC-000090","AU-3(1)","Records full process command lines in 4688 process-creation events, materially improving detection and investigation of malicious execution.","Low - Audit detail only; command lines may contain sensitive arguments in logs."
"AuditSpecialLogon","CCE-36266-5","Audit Special Logon",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditSpecialLogon","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Warning","Domain Controller, Member Server, Workgroup Member","Audit Policy","Configures auditing for Special Logon events to enable detection and investigation of security-relevant activities.","17.5.6","8.5 (IG2, IG3)","WN25-AU-000210","AU-12","Generates Windows Security audit events for 'Special Logon'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditSystemIntegrity","CCE-37132-8","Audit System Integrity",,,,"./Vendor/MSFT/Policy","Config/Audit/System_AuditSystemIntegrity","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy","Configures auditing for System Integrity events to enable detection and investigation of security-relevant activities.","17.9.5","8.5 (IG2, IG3)","WN25-AU-000380","AC-6(9), AU-12","Generates Windows Security audit events for 'System Integrity'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditUserAccountManagement","CCE-37856-2","Audit User Account Management",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditUserAccountManagement","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy","Configures auditing for User Account Management events to enable detection and investigation of security-relevant activities.","17.2.6","8.5 (IG2, IG3)","WN25-AU-000110","AC-2(4), AU-12","Generates Windows Security audit events for 'User Account Management'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AutoplayDisallowAutoplayForNonVolumeDevices","CCE-37636-8","Disallow Autoplay for non-volume devices","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Explorer","NoAutoplayfornonVolume","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Disallow Autoplay for non-volume devices' per security baseline requirements to enforce organizational security policy.","18.10.8.1","10.3 (IG1, IG2, IG3)","WN25-CC-000210","CM-7(2)","AutoPlay/AutoRun control 'Disallow Autoplay for non-volume devices'. The baseline disables automatic execution from removable and network media, preventing a classic auto-execution vector for malicious USB/optical/network content.","Low - Disables media auto-launch; users must open media manually."
"AutoplaySetDefaultAutoRunBehavior","CCE-38217-6","Set the default behavior for AutoRun","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","NoAutorun","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Set the default behavior for AutoRun' per security baseline requirements to enforce organizational security policy.","18.10.8.2","10.3 (IG1, IG2, IG3)","WN25-CC-000220","CM-7(2)","AutoPlay/AutoRun control 'Set the default behavior for AutoRun'. The baseline disables automatic execution from removable and network media, preventing a classic auto-execution vector for malicious USB/optical/network content.","Low - Disables media auto-launch; users must open media manually."
"AutoplayTurnOffAutoPlay","CCE-36875-3","Turn off Autoplay","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","NoDriveTypeAutoRun","REG_DWORD",,,,"255","255","255","OneOf(Equals(181), Equals(255))","Equals(255)","Equals(255)","Equals(255)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Turn off Autoplay' per security baseline requirements to enforce organizational security policy.","18.10.8.3","10.3 (IG1, IG2, IG3)","WN25-CC-000230","CM-7(2)","AutoPlay/AutoRun control 'Turn off Autoplay'. The baseline disables automatic execution from removable and network media, preventing a classic auto-execution vector for malicious USB/optical/network content.","Low - Disables media auto-launch; users must open media manually."
"BehaviorOfTheElevationPromptForAdministrators","CCE-37029-6","User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ConsentPromptBehaviorAdmin","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/UserAccountControl_BehaviorOfTheElevationPromptForAdministrators","Integer","2","2","2","Range(0, 5)","Range(1, 2)","Range(1, 2)","Range(1, 2)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options","Configures 'User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode' per security baseline requirements to enforce organizational security policy.","2.3.17.2","Not Mapped","WN25-SO-000400","SC-3","User Account Control control 'User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode'. Maintains admin-approval elevation, secure-desktop prompting, installer detection, or token filtering that constrains silent privilege elevation by malware.","Low - Standard UAC posture; rarely affects well-behaved applications."
"BehaviorOfTheElevationPromptForStandardUsers","CCE-36864-7","User Account Control: Behavior of the elevation prompt for standard users","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ConsentPromptBehaviorUser","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/UserAccountControl_BehaviorOfTheElevationPromptForStandardUsers","Integer","0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options","Configures 'User Account Control: Behavior of the elevation prompt for standard users' per security baseline requirements to enforce organizational security policy.","2.3.17.3","Not Mapped","WN25-SO-000410","SC-11","User Account Control control 'User Account Control: Behavior of the elevation prompt for standard users'. Maintains admin-approval elevation, secure-desktop prompting, installer detection, or token filtering that constrains silent privilege elevation by malware.","Low - Standard UAC posture; rarely affects well-behaved applications."
"BlockConsumerMicrosoftAccounts","AZ-WIN-20198","Block all consumer Microsoft account user authentication","HKLM:\SOFTWARE\Policies\Microsoft\MicrosoftAccount","DisableUserAuth","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Block all consumer Microsoft account user authentication' per security baseline requirements to enforce organizational security policy.","18.10.41.1","5.6 (IG2, IG3)","NA","AC-2","Blocks consumer Microsoft-account authentication, keeping host authentication within managed organizational identities.","Low - Validate no required consumer-MSA app; otherwise standard hardening."
"BlockNetbiosDiscovery",,"Block NetBIOS-based discovery for domain controller location","HKLM:\SOFTWARE\Policies\Microsoft\Netlogon\Parameters","BlockNetbiosDiscovery","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Block NetBIOS-based discovery for domain controller location' per security baseline requirements to enforce organizational security policy.","18.9.31.1.1","4.8 (IG2, IG3)","NA","CM-6","Blocks NetBIOS-based domain-controller discovery, forcing secure DNS-based locator and reducing spoofed-DC exposure.","Low - DNS-based DC location required; validate name resolution."
"BlockNTLM",,"Block NTLM (LM NTLM NTLMv2)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","BlockNTLM","REG_DWORD",,,,"0","0","0","Range(0, 1)","Range(0, 1)","Range(0, 1)","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Block NTLM (LM NTLM NTLMv2)' per security baseline requirements to enforce organizational security policy.","2.3.11.6","3.10 (IG2, IG3)","NA","AC-2, IA-2","NTLM-blocking control 'Block NTLM (LM NTLM NTLMv2)'. Constrains or blocks NTLM so Kerberos is preferred, reducing NTLM relay and credential-replay exposure; exception lists scope where NTLM remains permitted.","Medium - Blocking NTLM can break NTLM-dependent apps/appliances; audit usage before enforcing."
"BlockNTLMServerExceptionList",,"Block NTLM Server Exception List","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","BlockNTLMServerExceptionList","REG_MULTI_SZ",,,,"''","''","''","OneOf(Equals(''), Equals(null), AllOf(Pattern('^[\w\.\-\*]+(,[\w\.\-\*]+)*$')))","OneOf(Equals(''), Equals(null))","OneOf(Equals(''), Equals(null))","OneOf(Equals(''), Equals(null))","Informational","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Block NTLM Server Exception List' per security baseline requirements to enforce organizational security policy.","NA","NA","NA","AC-2, IA-2","NTLM-blocking control 'Block NTLM Server Exception List'. Constrains or blocks NTLM so Kerberos is preferred, reducing NTLM relay and credential-replay exposure; exception lists scope where NTLM remains permitted.","Medium - Blocking NTLM can break NTLM-dependent apps/appliances; audit usage before enforcing."
"ClearVirtualMemoryPageFile","AZ-WIN-00181","Shutdown: Clear virtual memory pagefile","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System","ClearPageFileAtShutdown","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Shutdown_ClearVirtualMemoryPageFile","Integer",,"0","0","Range(0, 1)",,"OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Critical","Member Server, Workgroup Member","Security Options","Configures 'Shutdown: Clear virtual memory pagefile' per security baseline requirements to enforce organizational security policy.","NA","NA","NA","AC-6, CM-6, SC-4, SC-28, SI-16","Clears the pagefile at shutdown, reducing the chance that sensitive in-memory data persists on disk for offline recovery.","Medium - Significantly lengthens shutdown time on large-RAM hosts; weigh operationally."
"CLFSAuthenticationChecking",,"Enable / disable CLFS logfile authentication","HKLM:\SYSTEM\CurrentControlSet\Policies","ClfsAuthenticationChecking","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Enables CLFS logfile authentication to protect against elevation of privilege attacks via manipulated Common Log File System log files (CVE-2024-49138).","18.9.17.1","NA","NA","SI-16, CM-6","Enables Common Log File System logfile authentication, mitigating CLFS log-tampering exploited for local privilege escalation.","Low - Standard mitigation; minimal impact."
"ConfigureDNSClientNETBIOS",,"Configure NetBIOS settings","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\DNSClient","EnableNetbios","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Configure NetBIOS settings' per security baseline requirements to enforce organizational security policy.","18.6.4.2","4.8 (IG2, IG3)","NA","CM-6","Disables NetBIOS over TCP/IP per the baseline, removing a legacy broadcast name service exploitable for spoofing and credential interception.","Low - Validate legacy NetBIOS-dependent apps; otherwise minimal."
"ConfigureKernelShadowStacksLaunch",,"Turn On Virtualization Based Security | KernelShadowStackLaunch","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard","ConfigureKernelShadowStacksLaunch","REG_DWORD",,,,"2","2","2","Range(0, 3)","Range(1, 2)","Range(1, 2)","Range(1, 2)","Warning","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Turn On Virtualization Based Security | KernelShadowStackLaunch' per security baseline requirements to enforce organizational security policy.","18.9.5.1","10.5 (IG2, IG3)","NA","CM-6","Enables Virtualization-Based Security / hardware-enforced stack protection (Kernel Shadow Stacks), mitigating return-oriented-programming exploitation in the kernel.","Medium - Requires compatible hardware; validate driver/peripheral compatibility before enabling."
"ConfigureMDNSProtocol","TBD","Configure multicast DNS (mDNS) protocol","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\DNSClient","EnableMDNS","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Warning","Domain Controller, Member Server, Workgroup Member","Registry","Disables multicast DNS name resolution, which broadcasts queries on the local network without authentication, enabling spoofing attacks.","18.6.4.1","4.8 (IG2, IG3)","NA","CM-6, CM-7","Legacy name-discovery control 'Configure multicast DNS (mDNS) protocol'. Disabling NetBIOS/mDNS broadcast discovery reduces name-spoofing and credential-interception opportunities on the local segment.","Low - May affect legacy peer discovery; confirm DNS-based resolution suffices."
"ConfigureSMBV1ClientDriver","AZ-WIN-00150","Configure SMB v1 client driver","HKLM:\SYSTEM\CurrentControlSet\Services\MrxSmb10","Start","REG_DWORD",,,,"4","4","4","Range(0, 4)","Equals(4)","Equals(4)","Equals(4)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures SMB protocol setting 'Configure SMB v1 client driver' to harden file sharing against interception and exploitation.","18.4.2","4.8 (IG2, IG3)","NA","AC-17, CM-6, SC-8, SI-7","Disables the SMBv1 client driver, removing an obsolete protocol with known wormable weaknesses and no modern integrity/encryption parity.","Medium - Legacy SMBv1-only peers lose connectivity; inventory before enforcing."
"ConfigureSMBV1Server","AZ-WIN-00175","Disable SMB v1 server","HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters","SMB1","REG_DWORD",,,,"0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures SMB protocol setting 'Disable SMB v1 server' to harden file sharing against interception and exploitation.","18.4.3","4.8 (IG2, IG3)","NA","AC-17, SC-8","Removes the SMBv1 dependency, eliminating an obsolete protocol with known wormable weaknesses (e.g., EternalBlue-class exposure). SMBv1 has no signing or encryption parity with modern dialects.","Medium - Legacy devices that only speak SMBv1 lose connectivity; inventory before enforcing."
"CredDelegationNonExportable","AZ-WIN-20199","Remote host allows delegation of non-exportable credentials","HKLM:\SOFTWARE\Policies\Microsoft\Windows\CredentialsDelegation","AllowProtectedCreds","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Remote host allows delegation of non-exportable credentials' per security baseline requirements to enforce organizational security policy.","18.9.4.2","Not Mapped","WN25-CC-000100","CM-6","Credential-delegation control 'Remote host allows delegation of non-exportable credentials'. Governs how credentials are delegated over CredSSP/RDP, limiting exposure of reusable secrets to remote hosts.","Medium - CredSSP changes can affect RDP/remote delegation; ensure client and server patch levels align."
"CredentialProvidersAllowPINLogon","CCE-37528-7","Turn on convenience PIN sign-in","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System","AllowDomainPINLogon","REG_DWORD",,,,"0","0",,"Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))",,"Warning","Domain Controller, Member Server","Registry","Configures 'Turn on convenience PIN sign-in' per security baseline requirements to enforce organizational security policy.","18.9.29.6","4.8 (IG2, IG3)","NA","CM-6","Logon/lock-screen exposure control 'Turn on convenience PIN sign-in'. Reduces information disclosed at the lock screen or sign-in (usernames, account details, UI surfaces) that aids targeting or unattended-console abuse.","Low - User-experience hardening; minimal functional impact."
"CredentialsUIDisablePasswordReveal","CCE-37534-5","Do not display the password reveal button","HKLM:\SOFTWARE\Policies\Microsoft\Windows\CredUI","DisablePasswordReveal","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Do not display the password reveal button' per security baseline requirements to enforce organizational security policy.","18.10.15.1","Not Mapped","NA","IA-5","Hides the password reveal button, reducing shoulder-surfing exposure of typed credentials.","Low - Cosmetic UI hardening; minimal impact."
"CredentialsUIEnumerateAdministrators","CCE-36512-2","Enumerate administrator accounts on elevation","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI","EnumerateAdministrators","REG_DWORD",,,,"0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Warning","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Enumerate administrator accounts on elevation' per security baseline requirements to enforce organizational security policy.","18.10.15.2","Not Mapped","WN25-CC-000240","SC-3","Prevents enumeration of administrator accounts at the UAC elevation prompt, removing a hint that aids targeting of privileged accounts.","Low - Standard hardening; minimal impact."
"CredSspAllowEncryptionOracle","AZ-WIN-201910","Encryption Oracle Remediation for CredSSP protocol","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters","AllowEncryptionOracle","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Encryption Oracle Remediation for CredSSP protocol' per security baseline requirements to enforce organizational security policy.","18.9.4.1","10.5 (IG2, IG3)","NA","SC-13, SC-28","Credential-delegation control 'Encryption Oracle Remediation for CredSSP protocol'. Governs how credentials are delegated over CredSSP/RDP, limiting exposure of reusable secrets to remote hosts.","Medium - CredSSP changes can affect RDP/remote delegation; ensure client and server patch levels align."
"CryptographyAllowedKerberosEncryptionTypes","CCE-37755-6","Network Security: Configure encryption types allowed for Kerberos","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters","SupportedEncryptionTypes","REG_DWORD",,,,"2147483640","2147483640","2147483640","OneOf(Equals(8), Equals(16), Equals(24), Equals(2147483624), Equals(2147483632), Equals(2147483640))","OneOf(Equals(2147483624), Equals(2147483632), Equals(2147483640))","OneOf(Equals(2147483624), Equals(2147483632), Equals(2147483640))","OneOf(Equals(2147483624), Equals(2147483632), Equals(2147483640))","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Network Security: Configure encryption types allowed for Kerberos' per security baseline requirements to enforce organizational security policy.","2.3.11.4","3.10 (IG2, IG3)","WN25-SO-000290","IA-7","Configures the encryption types Kerberos may use, restricting to AES and excluding legacy DES/RC4 where set. Removing weak ciphers strengthens ticket confidentiality and resists offline cracking.","Medium - Excluding RC4/DES can break trusts or services pinned to legacy ciphers; verify before enforcing."
"CryptographyEccCurve",,"SSL Cryptography EccCurves","HKLM:\SOFTWARE\Policies\Microsoft\Cryptography\Configuration\SSL\00010002","EccCurves","REG_MULTI_SZ",,,,"NistP256,NistP384","NistP256,NistP384","NistP256,NistP384","ContainsAtMost('curve25519','NistP256','NistP384')","ContainsAtMost('NistP256','NistP384')","ContainsAtMost('NistP256','NistP384')","ContainsAtMost('NistP256','NistP384')","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'SSL Cryptography EccCurves' per security baseline requirements to enforce organizational security policy.","NA","NA","NA","CM-6","Cryptographic configuration 'SSL Cryptography EccCurves'. Constrains cipher suites, ECC curves, or key-protection so only strong, approved algorithms are used, resisting weak-cipher downgrade and key misuse.","Medium - Cipher/curve restrictions can affect interoperability with legacy peers; validate negotiation."
"CryptographyForceStrongKeyProtection","AZ-WIN-73699","System Cryptography: Force strong key protection for user keys stored on the computer","HKLM:\SOFTWARE\Policies\Microsoft\Cryptography","ForceKeyProtection","REG_DWORD","./Vendor/MSFT/Policy","Config/Cryptography/ConfigureSystemCryptographyForceStrongKeyProtection","Integer","2","2","2","Range(1, 2)","Equals(2)","Equals(2)","Equals(2)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'System Cryptography: Force strong key protection for user keys stored on the computer' per security baseline requirements to enforce organizational security policy.","NA","NA","WN25-SO-000350","IA-5(2)","Cryptographic configuration 'System Cryptography: Force strong key protection for user keys stored on the computer'. Constrains cipher suites, ECC curves, or key-protection so only strong, approved algorithms are used, resisting weak-cipher downgrade and key misuse.","Medium - Cipher/curve restrictions can affect interoperability with legacy peers; validate negotiation."
